Obs point #0, -47.28, 0, 17.466
Obs point #1, -33.485, 0, 14.527
Obs point #2, -34.454, 0, 4.408
Obs point #3, -48.42736, 0, 5.723771
Obs point #4, -47.45958, 0, 16.4442
Obs point #5, -47.36969, 0, 17.44015
Obs point #6, -47.36683, 0, 17.47185
Obs point #7, -50.16054, 0, 17.66735
Obs point #8, -50.24822, 0, 16.6959
Obs point #9, -51.21457, 0, 5.987059
Obs point #10, -51.826, 0, 6.045
Obs point #11, -50.762, 0, 17.711
Obs point #12, -50.16054, 0, 17.66735
Obs point #13, -50.24822, 0, 16.6959
Obs point #14, -51.21457, 0, 5.987059
Obs point #15, -48.42736, 0, 5.723771
Obs point #16, -47.45958, 0, 16.4442
Obs point #17, -47.36969, 0, 17.44015
Obs point #18, -47.36683, 0, 17.47185
