Obs point #0,-47.28,17.466,0.9306747
Obs point #0,-33.485,14.527,0.9533837
Obs point #0,-34.454,4.408,1.221305
Obs point #1,-33.485,14.527,0.5947868
Obs point #1,-34.454,4.408,0.7675306
Obs point #1,-48.42736,5.723771,1.160041
Obs point #1,-51.21457,5.987059,1.207726
Obs point #1,-51.826,6.045,1.217236
Obs point #2,-34.454,4.408,0.6716247
Obs point #2,-48.42736,5.723771,0.9710375
Obs point #2,-47.45958,16.4442,0.974883
Obs point #2,-47.36969,17.44015,0.9751656
Obs point #2,-47.36683,17.47185,0.9751744
Obs point #2,-50.16054,17.66735,1.02515
Obs point #2,-50.24822,16.6959,1.02576
Obs point #2,-51.21457,5.987059,1.034256
Obs point #2,-51.826,6.045,1.048082
Obs point #3,-34.454,4.408,0.6287524
Obs point #3,-48.42736,5.723771,0.7951553
Obs point #3,-51.21457,5.987059,0.8453918
Obs point #3,-51.826,6.045,0.8574908
Obs point #3,-50.762,17.711,1.101663
Obs point #4,-51.826,6.045,0.8391749
Obs point #4,-50.762,17.711,1.069335
Obs point #5,-51.826,6.045,0.8262678
Obs point #5,-50.762,17.711,1.031819
Obs point #5,-50.16054,17.66735,1.044166
Obs point #5,-47.45958,16.4442,1.075551
Obs point #5,-47.36969,17.44015,1.096824
Obs point #5,-47.36683,17.47185,1.097512
Obs point #5,-47.28,17.466,1.099071
Obs point #5,-33.485,14.527,1.251155
Obs point #6,-50.762,17.711,0.9589584
Obs point #6,-50.16054,17.66735,0.9712442
Obs point #6,-50.24822,16.6959,0.9716241
Obs point #6,-51.21457,5.987059,0.9750076
Obs point #6,-48.42736,5.723771,1.021098
Obs point #6,-47.45958,16.4442,1.02764
Obs point #6,-47.36969,17.44015,1.028393
Obs point #6,-47.36683,17.47185,1.028418
Obs point #6,-47.28,17.466,1.030194
Obs point #6,-47.32,15.919,1.03095
Obs point #6,-33.485,14.527,1.29144
Obs point #7,-50.762,17.711,0.8924419
Obs point #7,-50.16054,17.66735,0.902833
Obs point #7,-50.24822,16.6959,0.9232667
Obs point #7,-47.36683,17.47185,0.9548188
Obs point #7,-47.28,17.466,0.9565371
Obs point #7,-47.32,15.919,0.991089
Obs point #7,-33.485,14.527,1.362353
Obs point #7,-34.454,4.408,1.461569
